Nickname,Avatar,KingCoin,Average Grade,Final Grade,T1-C,C1-C,C2-E,C2-D,C2-C,C2-B,C2-A,C3-E,C3-D,C3-C,C3-B,C3-A,C4-E,C4-D,C4-C,C4-B,C4-A,C5-E,C5-D,C5-C,C5-B,C5-A,C6-E,C6-D,C6-C,C6-B,C6-A,C7-E,C7-D,C7-C,C7-B,C7-A,E1-C,E2-C,E3-C,E4-C,E5-C,E6-C,P1-C,P2-E,P2-D,P2-C,P2-B,P2-A,F1-E,F1-D,F1-C,F1-B,F1-A,F2-E,F2-D,F2-C,F2-B,F2-A
IARB,47,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wb,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGDPM,56,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM,12,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rudielover,46,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,26,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kobe,57,6,0,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGT,47,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rahl,21,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVD,9,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lil saint,7,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
